"anchor href","image src","image src 2","image src 3","w_100%","d_inline-flex","textStyle_subHeader","image src 4","textStyle_body","textStyle_body 2","image src 5","textStyle_body 3","textStyle_body 4","image src 6","textStyle_body 5","textStyle_body 6","c_grey"
"https://www.trulia.com/home/6949-franela-way-citrus-heights-ca-95621-25984300","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7bdd5970566707a1a129c6505e7a9ed1-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/955679a4352aaa75d7df9ca15f749e4f-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/8e53977518492c899c6276e68be8e4d8-full.webp","Use arrow keys to navigate","NEW - 4 HRS AGO","$485,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","3","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,160","sqft","6949 Franela Way, Citrus Heights, CA 95621"
"https://www.trulia.com/home/7069-lynnetree-way-citrus-heights-ca-95610-25984863","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/f460fe1a980ae05a82df104fdf9b574a-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/0b2a44914d693072bb94eede5e582e9e-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2e11c1d19d0b855611d07a463ac4aae8-full.webp","Use arrow keys to navigate","NEW - 14 HRS AGO","$545,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","4","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,582","sqft","7069 Lynnetree Way, Citrus Heights, CA 95610"
"https://www.trulia.com/home/6920-amberwick-way-citrus-heights-ca-95621-26025528","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/4e9c0e6d7022ec0889294ba642ded46c-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/205f387d673ef7b246c6e8c004cbc841-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/e69d235195bb51ba8e74ecac5586cf16-full.webp","Use arrow keys to navigate","NEW - 15 HRS AGO","$510,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","3","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,426","sqft","6920 Amberwick Way, Citrus Heights, CA 95621"
"https://www.trulia.com/home/6330-slippery-creek-ln-citrus-heights-ca-95621-26026035","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b46694c80044f3c7d0984c337137379a-full.webp","","","Use arrow keys to navigate","NEW - 15 HRS AGO","$345,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","3","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,309","sqft","6330 Slippery Creek Ln, Citrus Heights, CA 95621"
"https://www.trulia.com/home/6328-bonham-cir-citrus-heights-ca-95610-26047841","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9407cf0d9bb9712659667cd85db6be1b-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/49329349ed26af94fb9e1de103e2d94d-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7e92eda2ae8f36f1ad3678d6c8fb9e58-full.webp","Use arrow keys to navigate","NEW - 17 HRS AGO","$699,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","5","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","4","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","2,085","sqft","6328 Bonham Cir, Citrus Heights, CA 95610"
"https://www.trulia.com/home/7318-sunwood-way-citrus-heights-ca-95621-25985010","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/17d8735429aadcca1cbaab24f9ecd85b-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/5d9d5094e477aa39783b57d6f665afbc-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ad5e080e998683cedebe61596afa8b23-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","$495,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","4","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,454","sqft","7318 Sunwood Way, Citrus Heights, CA 95621"
"https://www.trulia.com/home/7143-bonita-way-citrus-heights-ca-95610-25982580","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/4c59f3b08d81cab7078469fee283f8c9-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/d9a2f96f5dde58558019c5c2e8b70c97-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/5e6e3a285d27457529c6192a6eac6a60-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","$499,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","3","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,164","sqft","7143 Bonita Way, Citrus Heights, CA 95610"
"https://www.trulia.com/home/7125-calvin-dr-citrus-heights-ca-95621-25983387","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a2e3c0f5e0481e620bcaab37ea23dcab-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/50d3a1432992596751a6401612d23916-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b2fad2d58e9d90067f03f629b24c8a1a-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","$475,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","4","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,277","sqft","7125 Calvin Dr, Citrus Heights, CA 95621"
"https://www.trulia.com/home/6401-westbrook-dr-citrus-heights-ca-95621-26022989","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9c72eff8ef0f0f15124b29bb544203bb-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/0e83bd3d3535f6ee3e95598055e23e1f-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/4dad7ea30e676cdbd1b8827be0f6a75d-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","$480,500","https://www.trulia.com/images/icons/txl3/BedIcon.svg","3","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,301","sqft","6401 Westbrook Dr, Citrus Heights, CA 95621"
"https://www.trulia.com/home/7987-kingswood-dr-citrus-heights-ca-95610-26033170","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/18b59b69bdf2f2c1846a73d486857af5-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/86b311761a5c598112e083020a21bc98-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/78e84ab5abc6644f1e6999aeee4ef608-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","$425,000","https://www.trulia.com/images/icons/txl3/BedIcon.svg","3","Beds","https://www.trulia.com/images/icons/txl3/BathIcon.svg","2","Baths","https://www.trulia.com/images/icons/txl3/SquareFeetIcon.svg","1,546","sqft","7987 Kingswood Dr, Citrus Heights, CA 95610"
